Device Type	Instrument Type	Fixture ID	Fixture Mode	GDTF Fixture Mode	Wattage	Purpose	Position	Unit Number	Color	Dimmer	Channel	User Address	Absolute Address	User U Address	Universe	Universe/Address	Circuit Name	User Field 1	Circuit Number	User Field 2	User Field 3	User Field 4	User Field 5	User Field 6	Voltage	DMX Address	BreakerID	Time	Cost	DMX Footprint	Frame Size	Field Angle	Field Angle 2	Beam Angle	System	Beam Angle 2	Weight	Gobo 1	Gobo 1 Rotation	Gobo 2	Gobo 2 Rotation	Gobo Shift	Mark	Draw Beam	Draw Beam as 3D Solid	Use Vertical Beam	Show Beam at	Falloff Distance	Lamp Rotation Angle	Top Shutter Depth	Top Shutter Angle	Left Shutter Depth	Left Shutter Angle	Right Shutter Depth	Right Shutter Angle	Bottom Shutter Depth	Bottom Shutter Angle	__Light On	__Lit Fog	__Brightness	Symbol Name	Use Legend	3D Legend View	Flip Top & Bottom 3D Legend	Flip Left & Right 3D Legend	Rotate 3D Legend with Z Rotation	Flip Front & Back 2D Legend	Flip Left & Right 2D Legend	Focus	Set 3D Orientation	X Rotation	Y Rotation	Custom Plan Rotation	Z Rotation	Vertical Focus Angle	Horizontal Focus Angle	Angle To Face	Throw Distance	__ControlPoint01X	__ControlPoint02X	__ControlPoint02Y	__ControlPoint04X	Plan Rotation	__ControlPoint07Y	__ControlPoint08X	__ControlPoint08Y	X Location	Off Axis Angle	Y Location	Z Location	__UID
Moving Light	Robe Robin T1 Profile	Robe Robin T1 Profile	Robe Robin T1 Profile m1.lit	-	750 W	-	FOH Wraparound	4	-	-	34	-	2708	-	6	6/148	-	-	-	-	-	-	-	-	0	148	-	0	0	49	-	45.00°	45.00°	10.00°	A	10.00°	24.30 kg	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	1524mm	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	False	False	100	Light Instr Robe Robin T1 Profile	-	None	False	False	False	False	False	-	False	0	0	False	-86.99480777	0.00°	0.00°	0.00°	0mm	0mm	0mm	254mm	0mm	0.00°	0mm	0mm	0mm	-7923.9mm	0.00°	-7211mm	6500mm	1394.1.1.0.0
Moving Light	Robe Robin T1 Profile	Robe Robin T1 Profile	Robe Robin T1 Profile m1.lit	-	750 W	-	FOH Wraparound	5	-	-	35	-	2757	-	6	6/197	-	-	-	-	-	-	-	-	0	197	-	0	0	49	-	45.00°	45.00°	10.00°	A	10.00°	24.30 kg	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	1524mm	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	False	False	100	Light Instr Robe Robin T1 Profile	-	None	False	False	False	False	False	-	False	0	0	False	-81.80842516	0.00°	0.00°	0.00°	0mm	0mm	0mm	254mm	0mm	0.00°	0mm	0mm	0mm	-7720.5mm	0.00°	-9285.8mm	6500mm	1395.1.1.0.0
Moving Light	Robe Robin T1 Profile	Robe Robin T1 Profile	Robe Robin T1 Profile m1.lit	-	750 W	-	FOH Wraparound	6	-	-	36	-	2806	-	6	6/246	-	-	-	-	-	-	-	-	0	246	-	0	0	49	-	45.00°	45.00°	10.00°	A	10.00°	24.30 kg	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	1524mm	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	False	False	100	Light Instr Robe Robin T1 Profile	-	None	False	False	False	False	False	-	False	0	0	False	-76.6220531	0.00°	0.00°	0.00°	0mm	0mm	0mm	254mm	0mm	0.00°	0mm	0mm	0mm	-7330.4mm	0.00°	-11333.8mm	6500mm	1396.1.1.0.0
Moving Light	Robe Robin T1 Profile	Robe Robin T1 Profile	Robe Robin T1 Profile m1.lit	-	750 W	-	FOH Wraparound	7	-	-	37	-	2855	-	6	6/295	-	-	-	-	-	-	-	-	0	295	-	0	0	49	-	45.00°	45.00°	10.00°	A	10.00°	24.30 kg	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	1524mm	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	False	False	100	Light Instr Robe Robin T1 Profile	-	None	False	False	False	False	False	-	False	0	0	False	-64.03020864	0.00°	0.00°	0.00°	0mm	0mm	0mm	254mm	0mm	0.00°	0mm	0mm	0mm	-6666.8mm	0.00°	-13305.7mm	6500mm	1397.1.1.0.0
Moving Light	Robe Robin T1 Profile	Robe Robin T1 Profile	Robe Robin T1 Profile m1.lit	-	750 W	-	FOH Wraparound	8	-	-	38	-	2904	-	6	6/344	-	-	-	-	-	-	-	-	0	344	-	0	0	49	-	45.00°	45.00°	10.00°	A	10.00°	24.30 kg	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	1524mm	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	False	False	100	Light Instr Robe Robin T1 Profile	-	None	False	False	False	False	False	-	False	0	0	False	-48.41853056	0.00°	0.00°	0.00°	0mm	0mm	0mm	254mm	0mm	0.00°	0mm	0mm	0mm	-5510.9mm	0.00°	-15033.9mm	6500mm	1398.1.1.0.0
Moving Light	Robe Robin T1 Profile	Robe Robin T1 Profile	Robe Robin T1 Profile m1.lit	-	750 W	-	FOH Wraparound	9	-	-	39	-	2953	-	6	6/393	-	-	-	-	-	-	-	-	0	393	-	0	0	49	-	45.00°	45.00°	10.00°	A	10.00°	24.30 kg	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	1524mm	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	False	False	100	Light Instr Robe Robin T1 Profile	-	None	False	False	False	False	False	-	False	0	0	False	-32.80685853	0.00°	0.00°	0.00°	0mm	0mm	0mm	254mm	0mm	0.00°	0mm	0mm	0mm	-3932.7mm	0.00°	-16387.2mm	6500mm	1399.1.1.0.0
Moving Light	Robe Robin T1 Profile	Robe Robin T1 Profile	Robe Robin T1 Profile m1.lit	-	750 W	-	FOH Wraparound	10	-	-	40	-	3002	-	6	6/442	-	-	-	-	-	-	-	-	0	442	-	0	0	49	-	45.00°	45.00°	10.00°	A	10.00°	24.30 kg	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	1524mm	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	False	False	100	Light Instr Robe Robin T1 Profile	-	None	False	False	False	False	False	-	False	0	0	False	-17.1951841	0.00°	0.00°	0.00°	0mm	0mm	0mm	254mm	0mm	0.00°	0mm	0mm	0mm	-2048.4mm	0.00°	-17265.9mm	6500mm	1400.1.1.0.0
Moving Light	Robe Robin T1 Profile	Robe Robin T1 Profile	Robe Robin T1 Profile m1.lit	-	750 W	-	FOH Wraparound	11	-	-	41	-	3073	-	7	7/1	-	-	-	-	-	-	-	-	0	1	-	0	0	49	-	45.00°	45.00°	10.00°	A	10.00°	24.30 kg	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	1524mm	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	False	False	100	Light Instr Robe Robin T1 Profile	-	None	False	False	False	False	False	-	False	0	0	False	-1.58351695	0.00°	0.00°	0.00°	0mm	0mm	0mm	254mm	0mm	0.00°	0mm	0mm	0mm	2.8mm	0.00°	-17605.1mm	6500mm	1401.1.1.0.0
Moving Light	Robe Robin T1 Profile	Robe Robin T1 Profile	Robe Robin T1 Profile m1.lit	-	750 W	-	FOH Wraparound	12	-	-	42	-	3122	-	7	7/50	-	-	-	-	-	-	-	-	0	50	-	0	0	49	-	45.00°	45.00°	10.00°	A	10.00°	24.30 kg	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	1524mm	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	False	False	100	Light Instr Robe Robin T1 Profile	-	None	False	False	False	False	False	-	False	0	0	False	16.45930485	0.00°	0.00°	0.00°	0mm	0mm	0mm	254mm	0mm	0.00°	0mm	0mm	0mm	2062.2mm	0.00°	-17336.2mm	6500mm	1402.1.1.0.0
Moving Light	Robe Robin T1 Profile	Robe Robin T1 Profile	Robe Robin T1 Profile m1.lit	-	750 W	-	FOH Wraparound	13	-	-	43	-	3171	-	7	7/99	-	-	-	-	-	-	-	-	0	99	-	0	0	49	-	45.00°	45.00°	10.00°	A	10.00°	24.30 kg	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	1524mm	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	False	False	100	Light Instr Robe Robin T1 Profile	-	None	False	False	False	False	False	-	False	0	0	False	34.50379925	0.00°	0.00°	0.00°	0mm	0mm	0mm	254mm	0mm	0.00°	0mm	0mm	0mm	3937mm	0.00°	-16442.7mm	6500mm	1403.1.1.0.0
